"time","period","lat","lon","parking"
2016-04-13 06:30:01,13,-0.00176328999999953,0.012122799999986,0
2016-04-13 07:00:01,14,0,0,10
2016-04-13 07:30:01,15,0,0,9.5
2016-04-13 08:00:01,16,0,0,9
2016-04-13 08:30:01,17,0,0,8.5
2016-04-13 09:00:01,18,0,0,8
2016-04-13 09:30:01,19,0,0,7.5
2016-04-13 10:00:01,20,0,0,7
2016-04-13 10:30:01,21,0,0,6.5
2016-04-13 11:00:01,22,0,0,6
2016-04-13 11:30:01,23,0,0,5.5
2016-04-13 12:00:01,24,0,0,5
2016-04-13 12:30:01,25,0,0,4.5
2016-04-13 13:00:01,26,0,0,4
2016-04-13 13:30:01,27,0,0,3.5
2016-04-13 14:00:01,28,0,0,3
2016-04-13 14:30:01,29,0,0,2.5
2016-04-13 15:00:01,30,0,0,2
2016-04-13 15:30:01,31,0,0,1.5
2016-04-13 16:00:01,32,0,0,1
2016-04-13 16:30:01,33,0,0,0.5
2016-04-13 17:00:01,34,0,0,0
2016-04-13 17:30:01,35,0.0019621099999938,-0.000970800000004601,0
2016-04-13 18:00:01,36,0,0,12
2016-04-13 18:30:01,37,0,0,11.5
2016-04-13 19:00:01,38,0,0,11
2016-04-13 19:30:01,39,0,0,10.5
2016-04-13 20:00:01,40,0,0,10
2016-04-13 20:30:01,41,0,0,9.5
2016-04-13 21:00:01,42,0,0,9
2016-04-13 21:30:01,43,0,0,8.5
2016-04-13 22:00:01,44,0,0,8
2016-04-13 22:30:01,45,0,0,7.5
2016-04-13 23:00:01,46,0,0,7
2016-04-13 23:30:01,47,0,0,6.5
2016-04-14 00:00:01,0,0,0,6
2016-04-14 00:30:01,1,0,0,5.5
2016-04-14 01:00:01,2,0,0,5
2016-04-14 01:30:01,3,0,0,4.5
2016-04-14 02:00:01,4,0,0,4
2016-04-14 02:30:01,5,0,0,3.5
2016-04-14 03:00:01,6,0,0,3
2016-04-14 03:30:01,7,0,0,2.5
2016-04-14 04:00:01,8,0,0,2
2016-04-14 04:30:01,9,0,0,1.5
2016-04-14 05:00:01,10,0,0,1
2016-04-14 05:30:01,11,0,0,0.5
2016-04-14 06:00:01,12,0,0,0
2016-04-14 06:30:01,13,-0.00068455000000256,0.0130672000000231,0
2016-04-14 07:00:01,14,0,0,11
2016-04-14 07:30:01,15,0,0,10.5
2016-04-14 08:00:01,16,0,0,10
2016-04-14 08:30:01,17,0,0,9.5
2016-04-14 09:00:01,18,0,0,9
2016-04-14 09:30:01,19,0,0,8.5
2016-04-14 10:00:01,20,0,0,8
2016-04-14 10:30:01,21,0,0,7.5
2016-04-14 11:00:01,22,0,0,7
2016-04-14 11:30:01,23,0,0,6.5
2016-04-14 12:00:01,24,0,0,6
2016-04-14 12:30:01,25,0,0,5.5
2016-04-14 13:00:01,26,0,0,5
2016-04-14 13:30:01,27,0,0,4.5
2016-04-14 14:00:01,28,0,0,4
2016-04-14 14:30:01,29,0,0,3.5
2016-04-14 15:00:01,30,0,0,3
2016-04-14 15:30:01,31,0,0,2.5
2016-04-14 16:00:01,32,0,0,2
2016-04-14 16:30:01,33,0,0,1.5
2016-04-14 17:00:01,34,0,0,1
2016-04-14 17:30:01,35,0,0,0.5
2016-04-14 18:00:01,36,0,0,0
2016-04-14 18:30:01,37,0.000284640000003833,-0.00450620000000868,0
2016-04-14 19:00:01,38,0,0,11
2016-04-14 19:30:01,39,0,0,10.5
2016-04-14 20:00:01,40,0,0,10
2016-04-14 20:30:01,41,0,0,9.5
2016-04-14 21:00:01,42,0,0,9
2016-04-14 21:30:01,43,0,0,8.5
2016-04-14 22:00:01,44,0,0,8
2016-04-14 22:30:01,45,0,0,7.5
2016-04-14 23:00:01,46,0,0,7
2016-04-14 23:30:01,47,0,0,6.5
2016-04-15 00:00:01,0,0,0,6
2016-04-15 00:30:01,1,0,0,5.5
2016-04-15 01:00:01,2,0,0,5
2016-04-15 01:30:01,3,0,0,4.5
2016-04-15 02:00:01,4,0,0,4
2016-04-15 02:30:01,5,0,0,3.5
2016-04-15 03:00:01,6,0,0,3
2016-04-15 03:30:01,7,0,0,2.5
2016-04-15 04:00:01,8,0,0,2
2016-04-15 04:30:01,9,0,0,1.5
2016-04-15 05:00:01,10,0,0,1
2016-04-15 05:30:01,11,0,0,0.5
2016-04-15 06:00:01,12,0,0,0
2016-04-15 06:30:01,13,-0.000357839999999499,0.0122185000000172,0
2016-04-15 07:00:01,14,0,0,8
2016-04-15 07:30:01,15,0,0,7.5
2016-04-15 08:00:01,16,0,0,7
2016-04-15 08:30:01,17,0,0,6.5
2016-04-15 09:00:01,18,0,0,6
2016-04-15 09:30:01,19,0,0,5.5
2016-04-15 10:00:01,20,0,0,5
2016-04-15 10:30:01,21,0,0,4.5
2016-04-15 11:00:01,22,0,0,4
2016-04-15 11:30:01,23,0,0,3.5
2016-04-15 12:00:01,24,0,0,3
2016-04-15 12:30:01,25,0,0,2.5
2016-04-15 13:00:01,26,0,0,2
2016-04-15 13:30:01,27,0,0,1.5
2016-04-15 14:00:01,28,0,0,1
2016-04-15 14:30:01,29,0,0,0.5
2016-04-15 15:00:01,30,0,0,0
2016-04-15 15:30:01,31,-0.00196702999999587,-0.0015837999999917,0
2016-04-15 16:00:01,32,0.000343869999994695,-0.00437769999999205,0
2016-04-15 16:30:01,33,0,0,38
2016-04-15 17:00:01,34,0,0,37.5
2016-04-15 17:30:01,35,0,0,37
2016-04-15 18:00:01,36,0,0,36.5
2016-04-15 18:30:01,37,0,0,36
2016-04-15 19:00:01,38,0,0,35.5
2016-04-15 19:30:01,39,0,0,35
2016-04-15 20:00:01,40,0,0,34.5
2016-04-15 20:30:01,41,0,0,34
2016-04-15 21:00:01,42,0,0,33.5
2016-04-15 21:30:01,43,0,0,33
2016-04-15 22:00:01,44,0,0,32.5
2016-04-15 22:30:01,45,0,0,32
2016-04-15 23:00:01,46,0,0,31.5
2016-04-15 23:30:01,47,0,0,31
2016-04-16 00:00:01,0,0,0,30.5
2016-04-16 00:30:01,1,0,0,30
2016-04-16 01:00:01,2,0,0,29.5
2016-04-16 01:30:01,3,0,0,29
2016-04-16 02:00:01,4,0,0,28.5
2016-04-16 02:30:01,5,0,0,28
2016-04-16 03:00:01,6,0,0,27.5
2016-04-16 03:30:01,7,0,0,27
2016-04-16 04:00:01,8,0,0,26.5
2016-04-16 04:30:01,9,0,0,26
2016-04-16 05:00:01,10,0,0,25.5
2016-04-16 05:30:01,11,0,0,25
2016-04-16 06:00:01,12,0,0,24.5
2016-04-16 06:30:01,13,0,0,24
2016-04-16 07:00:01,14,0,0,23.5
2016-04-16 07:30:01,15,0,0,23
2016-04-16 08:00:01,16,0,0,22.5
2016-04-16 08:30:01,17,0,0,22
2016-04-16 09:00:01,18,0,0,21.5
2016-04-16 09:30:01,19,0,0,21
2016-04-16 10:00:01,20,0,0,20.5
2016-04-16 10:30:01,21,0,0,20
2016-04-16 11:00:01,22,0,0,19.5
2016-04-16 11:30:01,23,0,0,19
2016-04-16 12:00:01,24,0,0,18.5
2016-04-16 12:30:01,25,0,0,18
2016-04-16 13:00:01,26,0,0,17.5
2016-04-16 13:30:01,27,0,0,17
2016-04-16 14:00:01,28,0,0,16.5
2016-04-16 14:30:01,29,0,0,16
2016-04-16 15:00:01,30,0,0,15.5
2016-04-16 15:30:01,31,0,0,15
2016-04-16 16:00:01,32,0,0,14.5
2016-04-16 16:30:01,33,0,0,14
2016-04-16 17:00:01,34,0,0,13.5
2016-04-16 17:30:01,35,0,0,13
2016-04-16 18:00:01,36,0,0,12.5
2016-04-16 18:30:01,37,0,0,12
2016-04-16 19:00:01,38,0,0,11.5
2016-04-16 19:30:01,39,0,0,11
2016-04-16 20:00:01,40,0,0,10.5
2016-04-16 20:30:01,41,0,0,10
2016-04-16 21:00:01,42,0,0,9.5
2016-04-16 21:30:01,43,0,0,9
2016-04-16 22:00:01,44,0,0,8.5
2016-04-16 22:30:01,45,0,0,8
2016-04-16 23:00:01,46,0,0,7.5
2016-04-16 23:30:01,47,0,0,7
2016-04-17 00:00:01,0,0,0,6.5
